Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C8",C_0402,2,100nF,
C2,C_0402,1,10uF,
C3,C_0402,1,10nF,
"C4, C5",C_0402,2,22pF,
D1,LED_0402,1,GREEN,
D2,SOD-323,1,ESD,
D3,SOD-323,1,1N5819,
D4,LED_0402,1,BLUE,
F1,0603,1,500mA,
J1,USB-Type-C_SMD_16P,1,USB-Type-C,
J2,Debug_Header_2x05,1,Conn_02x05_Odd_Even,
"R1, R2",R_0402,2,4.7K,
"R3, R4, R6",R_0402,3,10K,
R5,R_0402,1,1K,
R7,R_0402,1,0R,
SW1,BUTTON_3x4,1,ModeS,
SW2,BUTTON_3x4,1,IAP,
U1,SOT-23-5,1,RT9013-33GB,
U2,TSSOP-20_4.4x6.5mm_P0.65mm,1,CH32V305FBT6,
Y1,Crystal_SMD_3225_4P,1,12MHz,
