Designator,Mid X,Mid Y,Rotation,Layer
C1,8.1788,-0.9398,180.0,top
C2,8.1788,-2.2606,180.0,top
C3,6.5786,-1.2446,270.0,top
C4,13.2588,-2.413,180.0,bottom
C5,13.2588,2.413,0.0,bottom
C8,16.1213,0.0,90.0,bottom
D1,0.6604,5.8928,0.0,top
D2,5.0546,4.8514,90.0,top
D3,5.0546,-2.2098,90.0,top
D4,0.6604,-5.8928,0.0,top
F1,5.0546,1.3208,90.0,top
J1,0.7112,0.0,270.0,top
J2,20.6756,0.0,270.0,top
R1,6.5786,-3.2766,270.0,top
R2,5.0546,-5.3086,90.0,top
R3,-1.6256,5.8928,0.0,top
R4,-1.6256,-5.8928,0.0,top
R5,8.1788,-3.5306,180.0,top
R6,6.5786,-5.3086,90.0,top
R7,6.5786,5.3086,90.0,top
SW1,14.097,5.1308,0.0,top
SW2,14.097,-5.1308,0.0,top
U1,7.5438,1.8796,270.0,top
U2,13.2588,0.0,0.0,top
Y1,13.2588,0.0,180.0,bottom
